1,2,3,4,5,6,7,8,9,10,11,12
12,62,50,-18,-35,56,21,149,-24,49,40,29
16,63,48,-15,-38,56,20,147,-24,47,39,27
20,64,45,-11,-41,55,18,144,-24,46,38,26
23,63,42,-8,-41,53,16,141,-25,44,37,25
23,60,39,-7,-40,50,14,138,-25,43,37,25
21,56,37,-7,-37,47,12,135,-25,41,36,26
17,52,37,-9,-33,44,11,131,-26,40,36,26
12,47,37,-12,-29,42,9,127,-27,39,35,26
7,44,37,-14,-25,41,8,124,-27,37,35,25
4,43,38,-15,-24,41,7,122,-27,35,34,24
4,43,39,-16,-24,42,8,122,-25,34,34,24
5,46,40,-16,-26,43,11,122,-23,34,34,24
8,50,41,-15,-29,45,14,123,-20,36,35,25
13,56,42,-13,-34,49,17,124,-17,38,36,26
19,64,44,-11,-41,54,21,125,-14,41,37,28
24,73,48,-11,-48,60,26,126,-11,43,39,30
26,81,55,-13,-53,68,31,128,-7,45,41,33
23,87,64,-19,-55,75,36,129,-3,48,44,36
17,89,73,-26,-53,81,40,130,0,50,46,38
10,90,80,-33,-50,84,42,130,2,52,48,39
6,90,85,-38,-47,87,42,129,2,53,49,39
7,93,87,-39,-49,90,42,127,3,54,50,40
12,98,87,-36,-54,92,41,126,3,54,50,40
18,103,86,-32,-60,94,40,124,3,54,50,41
23,106,84,-29,-64,94,40,123,5,53,51,42
27,108,82,-26,-67,94,41,123,8,54,52,44
31,110,79,-22,-70,94,42,124,13,57,55,48
37,112,76,-18,-74,94,44,127,19,61,58,54
43,116,73,-13,-79,95,43,128,24,66,61,58
49,120,71,-9,-84,96,40,128,27,69,64,61
55,124,69,-5,-89,97,35,126,28,72,65,62
58,128,69,-3,-93,99,30,122,28,74,66,63
59,130,71,-5,-94,101,26,117,29,76,65,64
55,132,77,-10,-93,105,22,112,29,78,65,65
48,134,86,-17,-90,110,18,105,28,78,65,66
41,136,95,-25,-88,115,13,98,26,77,66,66
38,139,101,-30,-87,119,7,89,23,76,65,64
38,142,104,-32,-89,122,0,81,19,73,65,62
41,145,104,-31,-92,124,-7,73,16,70,65,61
44,149,105,-30,-95,126,-12,67,15,68,65,62
45,151,105,-30,-97,128,-14,63,16,68,65,65
46,152,105,-29,-99,129,-14,62,20,70,66,69
50,151,101,-25,-100,127,-13,62,24,73,67,72
56,150,94,-18,-103,122,-14,61,27,75,67,73
63,147,84,-10,-105,116,-17,60,28,76,66,71
69,143,74,-2,-106,109,-19,57,27,74,64,67
73,137,65,4,-104,102,-20,55,25,71,61,62
73,130,57,9,-100,94,-19,52,22,68,56,57
70,119,50,11,-93,85,-17,49,19,64,51,51
62,105,44,10,-82,75,-14,47,14,60,46,44
47,89,42,4,-67,66,-10,45,10,54,40,38
30,74,44,-6,-51,60,-4,44,7,48,35,32
10,61,50,-19,-34,56,2,44,6,43,31,28
-8,50,58,-32,-20,55,8,43,5,38,28,26
-23,41,63,-42,-8,53,11,41,5,35,24,24
-33,32,65,-48,1,49,12,38,3,31,22,21
-39,24,62,-49,8,44,11,34,0,26,20,17
-42,16,57,-49,14,37,9,30,-3,21,17,13
-44,8,52,-47,19,31,7,26,-5,17,14,10
-45,2,46,-45,23,25,5,22,-6,15,11,9
-45,-5,40,-41,25,18,1,17,-8,12,9,7
-41,-10,30,-34,26,10,-4,11,-10,9,7,5
-33,-15,18,-24,24,2,-10,4,-14,5,5,1
-23,-17,5,-13,20,-6,-15,-1,-18,0,2,-2
-14,-17,-4,-3,16,-11,-18,-5,-19,-3,0,-5
-7,-16,-10,3,12,-13,-19,-6,-19,-4,-2,-6
-1,-14,-13,8,8,-13,-18,-5,-17,-5,-4,-7
5,-10,-16,12,3,-13,-16,-4,-15,-5,-5,-7
11,-5,-17,15,-2,-11,-13,-2,-13,-5,-5,-6
14,-1,-16,16,-6,-8,-9,-1,-10,-5,-5,-5
14,2,-12,14,-7,-4,-5,0,-7,-4,-3,-3
9,2,-6,7,-4,-2,-2,0,-4,-2,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0
-9,-4,6,-7,7,1,5,2,6,4,4,0
-18,-10,9,-13,15,0,9,5,10,5,6,0
-27,-18,10,-18,23,-3,14,9,15,6,7,-1
-35,-27,9,-21,32,-8,21,17,20,6,7,-3
-45,-37,8,-24,42,-14,25,23,26,7,7,-5
-50,-46,5,-26,48,-20,44,40,36,6,9,-10
-47,-46,-1,-22,47,-24,63,62,53,15,13,-9
-39,-44,-6,-15,42,-25,88,88,75,29,21,-4
-28,-33,-4,-10,32,-19,100,115,102,52,38,13
-20,-20,0,-7,21,-11,106,140,136,80,62,38
-8,-2,6,-4,6,2,103,160,175,121,97,75
